doi,url,pmid,year,title,journal,quartile,corpus_id,first_author,is_guideline,impact_factor,num_citations,is_open_access,list:fields_of_study,list:publication_types,num_influential_citations,sjr,relevance_gpt,reliability_score,question
10.1177/2047487316636260,https://www.semanticscholar.org/paper/10ff86a7f573b157c46e26bc8271f036e75e9bed,26915580,2016,Long-term prescription of beta-blocker delays the progression of heart failure with preserved ejection fraction in patients with hypertension: A retrospective observational cohort study,European Journal of Preventive Cardiology,Q1,8378982,Jun Gu,0,1.866,31,0,['Medicine'],"['Study', 'JournalArticle']",0,3.089,"Yes. This article is relevant to the question as it discusses the use of beta-blockers in patients with hypertension, left ventricular hypertrophy, and diastolic dysfunction, which are common risk factors for heart failure with preserved ejection fraction (HFpEF). The study found that long-term beta-blocker prescription delayed the progression of HFpEF in these patients.",0.0019,Should I use beta blocker in a patient with HFpEF and grade 3 diastolic dysfunction?
10.1371/journal.pone.0090555,https://www.semanticscholar.org/paper/5947ba2697f25520a751f2dd145f69466e3a9c54,24599093,2014,Effects of Beta-Blockers on Heart Failure with Preserved Ejection Fraction: A Meta-Analysis,PLoS ONE,Q1,769915,Feng Liu,0,NA,92,1,['Medicine'],"['JournalArticle', 'MetaAnalysis']",6,3.089,"Yes, this document is relevant. The article specifically addresses the use of beta-blockers in patients with HFpEF, which is the focus of the clinical question. The meta-analysis discussed in the article provides information on the impact of beta-blockers on mortality and hospitalization in patients with HFpEF, which directly relates to the question of whether beta blockers should be used in a patient with HFpEF and grade 3 diastolic dysfunction.",0.0008,Should I use beta blocker in a patient with HFpEF and grade 3 diastolic dysfunction?
10.1097/MCG.0000000000001806,https://www.semanticscholar.org/paper/1d1d97ea63d1f978b36fe00d40c35c721c85d92e,36598805,2022,Is There a Need to Undertake Conventional Gastroscopy and Biopsy When Making the Diagnosis of Coeliac Disease in Adults?,Journal of Clinical Gastroenterology,Q1,255420665,Mohamed G. Shiha,0,0.906,3,0,['Medicine'],['JournalArticle'],0,3.089,"Yes. The article discusses the diagnostic approach for celiac disease in adults, including the use of gastroscopy and biopsy as the current gold standard. It also mentions the controversy surrounding the use of serological tests to diagnose celiac disease without biopsy in selected patients. This information is relevant to the question about the test used to confirm celiac disease in adults.",0.2379,What test is used to confirm celiac disease in adults?
10.1136/archdischild-2020-321361,https://www.semanticscholar.org/paper/1d78e712115d531234807c4204e7b5efc2c0389e,33687918,2021,Coeliac disease: making the diagnosis,Archives of Disease in Childhood,Q1,232163739,R. M. Beattie,0,0.935,1,0,['Medicine'],"['JournalArticle', 'Review']",0,3.089,"Yes, this document is relevant. The article discusses the diagnosis of celiac disease in adults, including the use of serological testing in the context of clinical symptoms.",0.2379,What test is used to confirm celiac disease in adults?
10.3389/fnut.2020.562503,https://www.semanticscholar.org/paper/940e81deed09c2ecf8c138e72afc3196138bc8f3,33195364,2020,Evaluation of Non-dietary Alternatives for Treatment of Adults With Celiac Disease,Frontiers in Nutrition,Q1,224286810,H. Freeman,0,0.828,1,1,['Medicine'],['JournalArticle'],0,3.089,"Yes

This article discusses the diagnosis of celiac disease in adults, including the use of serological tests and small intestinal biopsy to confirm the disease. It provides information on the characteristic mucosal pathological changes seen in untreated celiac disease. This information is relevant to the question about the test used to confirm celiac disease in adults.",0.2378,What test is used to confirm celiac disease in adults?
NA,https://www.semanticscholar.org/paper/c9982e68a3007c0dde0a8753162813c563ac1705,35839368,2022,Celiac Disease: Common Questions and Answers.,American family physician,Q1,250582740,Pamela M. Williams,0,0.546,1,0,['Medicine'],['JournalArticle'],0,3.089,"Yes. The article excerpt provides information on the recommended tests to confirm celiac disease in adults, including serologic testing and small bowel biopsy.",0.2375,What test is used to confirm celiac disease in adults?
NA,https://www.semanticscholar.org/paper/4b07c428adc47d4e53ce5977b980c0805ac2c6d9,NA,2018,Pitfalls in adult celiac disease diagnosis,Gastroenterología y Hepatología,Q1,201970325,C. Ciacci,0,NA,0,0,['Medicine'],[],0,3.089,"Yes, this document is relevant. The article discusses the specific serology and biopsy findings needed to confirm celiac disease in adults, which directly addresses the question about the test used to confirm celiac disease in adults.",0.237,What test is used to confirm celiac disease in adults?
10.1080/17474124.2020.1725472,https://www.semanticscholar.org/paper/79877702f092e8210d7603d0385e5e905dbd1fe7,32011187,2020,Progress in the serology-based diagnosis and management of adult celiac disease,Expert Review of Gastroenterology & Hepatology,Q1,211013055,H. Penny,0,NA,22,0,['Medicine'],"['JournalArticle', 'Review']",0,3.089,"Yes. The article provides information on serological tests used for the diagnosis and management of adult celiac disease, which is directly related to the question about confirming celiac disease in adults.",0.237,What test is used to confirm celiac disease in adults?
10.3390/nu12092736,https://www.semanticscholar.org/paper/cc33b3764cc9ff40ac9786e5a4962faf6029cd16,32911716,2020,Non-Biopsy Serology-Based Diagnosis of Celiac Disease in Adults Is Accurate with Different Commercial Kits and Pre-Test Probabilities,Nutrients,Q1,221623377,Venla Ylönen,0,NA,18,1,['Medicine'],['JournalArticle'],0,3.089,"Yes, this document is relevant. The article discusses the use of serology-based diagnosis of celiac disease in adults, including the use of different commercial kits and pre-test probabilities. It provides information on the accuracy of diagnosing celiac disease in adults without the need for a biopsy, which directly relates to the question about confirming celiac disease in adults.",0.237,What test is used to confirm celiac disease in adults?
10.3390/nu16172979,https://www.semanticscholar.org/paper/93c2f13f6f25e4cf2e018141b5deaef6ed257bc1,39275294,2024,Intestinal Anti-Endomysium Antibodies Are a Useful Tool for Diagnosing Celiac Disease in Pediatric and Adult Patients,Nutrients,Q1,272410567,C. Zanchi,0,NA,0,0,['Medicine'],"['JournalArticle', 'Study']",0,3.089,"Yes, this document is relevant. The article discusses the use of intestinal anti-endomysium antibodies as a specific marker for diagnosing celiac disease in both pediatric and adult patients. It provides information on the sensitivity and specificity of this marker in confirming celiac disease in adults, which directly addresses the question about the test used to confirm celiac disease in adults.",0.237,What test is used to confirm celiac disease in adults?
10.7759/cureus.26521,https://www.semanticscholar.org/paper/7ab72934f43c439c3a65ba7424efcf01637de16c,35795577,2022,A No-Biopsy Approach for the Diagnosis of Celiac Disease in Adults: Can It Be Real?,Cureus,Q1,250269383,A. Baykan,0,NA,8,0,['Medicine'],['JournalArticle'],0,3.089,"Yes. The article discusses the diagnosis of celiac disease in adults, including the use of serological tests such as anti-transglutaminase antibodies, which can be used to confirm celiac disease in adults.",0.237,What test is used to confirm celiac disease in adults?
10.7326/0003-4819-142-4-200502150-00011,https://www.semanticscholar.org/paper/18d6f288058ed79039c912087900187424fea100,15710962,2005,Narrative Review: Celiac Disease: Understanding a Complex Autoimmune Disorder,Annals of Internal Medicine,Q1,21492537,A. Alaedini,0,3.337,308,0,['Medicine'],"['Review', 'JournalArticle']",6,3.089,"Yes. The article discusses the diagnosis of celiac disease in adults, including the use of serologic markers such as antitransglutaminase antibody. This information is relevant to the question about confirming celiac disease in adults.",0.0033,What test is used to confirm celiac disease in adults?
10.7326/0003-4819-147-5-200709040-00009,https://www.semanticscholar.org/paper/edd9a8e81b000598248c49cc6ff8e05fe1f4037e,17785489,2007,Tailored Testing for Celiac Disease,Annals of Internal Medicine,Q1,34004128,Shadi Rashtak,0,3.337,32,0,['Medicine'],"['LettersAndComments', 'Editorial']",2,3.089,"Yes, this document is relevant. The article discusses different tests used to diagnose celiac disease in adults, including serologic testing for autoantibodies against tissue transglutaminase (TGA) or endomysium (EMA) as the first step, and the small-intestine biopsy as the gold standard test. It also mentions the association of HLA types DQ2 or DQ8 with celiac disease and compares the test performance of HLA-DQ typing and serology for diagnosing celiac disease. This information directly addresses the question about the test used to confirm celiac disease in adults.",0.0033,What test is used to confirm celiac disease in adults?
10.7326/0003-4819-147-5-200709040-00003,https://www.semanticscholar.org/paper/c81b45d27c3986cea92977eafc5aba7e0f45059e,17785484,2007,Accuracy of Serologic Tests and HLA-DQ Typing for Diagnosing Celiac Disease,Annals of Internal Medicine,Q1,24275278,M. Hadithi,0,3.337,141,0,['Medicine'],"['Review', 'JournalArticle']",2,3.089,"Yes, the document is relevant. The article discusses the accuracy of serologic tests and HLA-DQ typing for diagnosing celiac disease, which directly relates to the question about the test used to confirm celiac disease in adults.",0.0033,What test is used to confirm celiac disease in adults?
10.1111/apt.13005,https://www.semanticscholar.org/paper/c101360f64a964ad39b914fc5fab45625cf30aad,25483433,2015,Editorial: expanding a narrow perspective on narrow calibre oesophagus in eosinophilic oesophagitis,Alimentary Pharmacology & Therapeutics,Q1,207050437,J. Molina-Infante,0,NA,3,1,['Medicine'],"['LettersAndComments', 'Editorial']",0,3.089,"Yes. The article excerpt discusses the diagnosis of celiac disease in adults based on serology test results without the need for small-bowel biopsy, which directly relates to the question about confirming celiac disease in adults.",0.0028,What test is used to confirm celiac disease in adults?
10.1177/2050640613502788,https://www.semanticscholar.org/paper/12b2216ffea61ba4b5ef83bec48f5050f416ab6a,24917978,2013,Serological testing for celiac disease in adults,United European Gastroenterology Journal,Q1,41798417,Astrid Collatz Schyum,0,1.612,42,1,['Medicine'],"['JournalArticle', 'Review']",3,3.089,"Yes, this document is relevant. The article excerpt discusses serological testing methods for diagnosing celiac disease in adults, including tissue transglutaminase antibodies (tTG), deamidated gliadin peptide (DGP), and endomysial antibodies (EMA). It also mentions the role of human leukocyte antigen (HLA) typing in confirming celiac disease.",0.0016,What test is used to confirm celiac disease in adults?
10.1373/CLINCHEM.2003.024976,https://www.semanticscholar.org/paper/922a58ddbf3603fab2c963afb4d8e32759ae4dcd,14752021,2004,IgA antibodies against tissue transglutaminase in the diagnosis of celiac disease: concordance with intestinal biopsy in children and adults.,Clinical chemistry,Q1,27041916,M Jesus Llorente,0,1.460,18,1,['Medicine'],['JournalArticle'],1,3.089,"Yes. The article discusses the use of IgA antibodies against tissue transglutaminase in the diagnosis of celiac disease in both children and adults, which directly relates to the question about the test used to confirm celiac disease in adults.",0.0015,What test is used to confirm celiac disease in adults?
10.3322/caac.21616,https://www.semanticscholar.org/paper/7b7c1a943d5aad90b9ecd12cb74ab61e906a79d2,32639044,2020,Human papillomavirus vaccination 2020 guideline update: American Cancer Society guideline adaptation.,CA: a cancer journal for clinicians,Q1,220411250,D. Saslow,1,NA,107,1,['Medicine'],['JournalArticle'],0,3.089,"Yes, this document is relevant. The article provides information on the latest guidelines for HPV vaccination, including recommendations for routine vaccination between ages 9 and 12, catch-up vaccination for individuals up to age 26, and the lack of recommendation for catch-up vaccination for adults older than 26.",0.344,What are the latest guidelines for HPV vaccination?
10.15585/mmwr.mm6832a3,https://www.semanticscholar.org/paper/f527a0598b5b962605733287e3e8a1e69c7a1651,31415491,2019,Human Papillomavirus Vaccination for Adults: Updated Recommendations of the Advisory Committee on Immunization Practices,Morbidity and Mortality Weekly Report,Q1,201019534,E. Meites,1,13.080,723,1,['Medicine'],['JournalArticle'],24,3.089,"Yes, this document is relevant. It provides updated recommendations from the Advisory Committee on Immunization Practices regarding HPV vaccination for adults, including catch-up vaccination recommendations for individuals up to age 26 years.",0.2501,What are the latest guidelines for HPV vaccination?
10.15585/mmwr.mm7012a2,https://www.semanticscholar.org/paper/2b13df2ae6107bdaf7968905525a26855e9ec91c,33764964,2021,"Declines in Prevalence of Human Papillomavirus Vaccine-Type Infection Among Females after Introduction of Vaccine — United States, 2003–2018",Morbidity and Mortality Weekly Report,Q1,232365154,Hannah G. Rosenblum,0,13.080,63,0,['Medicine'],"['JournalArticle', 'Review']",1,3.089,"Yes, this document is relevant. The article discusses the declines in prevalence of HPV vaccine-type infection among females after the introduction of the HPV vaccine in the United States. It also provides information on the recommended age for HPV vaccination and the types of vaccines available.",0.2501,What are the latest guidelines for HPV vaccination?
10.1053/j.gastro.2019.11.250,https://www.semanticscholar.org/paper/e2a785d22210cc316a5b9aeee77b614bb8d57879,NA,2020,P033 POPULATION-LEVEL HPV VACCINATION COVERAGE AMONG U.S. ADULT IBD PATIENTS: STILL NOT ENOUGH,Gastroenterology,Q1,214098422,Ryan Suk,0,7.362,0,1,['Medicine'],['Review'],0,3.089,"Yes, this document is relevant. The article discusses the latest guidelines for HPV vaccination, including the recent update by the CDC to include adults aged 27 to 45 who are not adequately vaccinated. It also provides information on HPV vaccination coverage among patients with IBD in the US.",0.2444,What are the latest guidelines for HPV vaccination?
10.1001/jamadermatol.2020.2927,https://www.semanticscholar.org/paper/6c4984963f62becaad83a63e5a3d825ff51a6bb9,32822454,2020,Vaccination Against Human Papillomavirus.,JAMA dermatology,Q1,221239551,D. Marks,0,3.203,1,0,['Medicine'],['JournalArticle'],0,3.089,"Yes. The article excerpt provides information on the latest guidelines for HPV vaccination, including recommendations for catch-up vaccination for individuals up to age 26 and the option for those aged 27-45 to decide with their clinician whether vaccination is appropriate. It also mentions the continued recommendation for routine vaccination at age 11 or 12 years.",0.2402,What are the latest guidelines for HPV vaccination?
10.1111/ajt.14206,https://www.semanticscholar.org/paper/a5b11c201d7eea493c1f7e7e974250f20b2e4926,28240827,2017,Use of a 2‐Dose Schedule for Human Papillomavirus Vaccination—Updated Recommendations of the Advisory Committee on Immunization Practices,American Journal of Transplantation,Q1,27242531,E. Meites,0,2.688,127,1,['Medicine'],['Editorial'],4,3.089,"Yes. This document is relevant because it provides updated recommendations from the Advisory Committee on Immunization Practices regarding the use of HPV vaccines, including new recommendations for a 2-dose schedule for girls and boys who initiate the vaccination series at ages 9 through 14 years.",0.2397,What are the latest guidelines for HPV vaccination?
10.1097/AOG.0000000000005056,https://www.semanticscholar.org/paper/dc6eb63db3e97a8f38bff92d7076955eef569190,36649341,2023,An Update on Human Papillomavirus Vaccination in the United States,Obstetrics & Gynecology,Q1,255939995,T. Boitano,0,NA,6,0,['Medicine'],['JournalArticle'],0,3.089,"Yes. The article provides an update on human papillomavirus vaccination, including information on routine vaccination, patients with previous infection, those older than age 26 years, number of doses, and health care workers. It also highlights the evidence that the HPV vaccine is safe and effective in preventing cervical cancer. This information is relevant to the latest guidelines for HPV vaccination.",0.239,What are the latest guidelines for HPV vaccination?
10.1097/LGT.0000000000000703,https://www.semanticscholar.org/paper/69914351635c7c5696fbc46f8b8be9c0a9d74fba,36538783,2022,ASCCP Committee Opinion: Adjuvant Human Papillomavirus Vaccine for Patients Undergoing Treatment for Cervical Intraepithelial Neoplasia,Journal of Lower Genital Tract Disease,Q1,254883056,Kathryn E. Sharpless,0,0.972,4,0,['Medicine'],"['JournalArticle', 'Review']",1,3.089,"Yes. This document is relevant because it discusses the latest guidelines for HPV vaccination, specifically focusing on adjuvant HPV vaccination for individuals undergoing treatment for cervical intraepithelial neoplasia grade 2 or worse. It summarizes evidence-based recommendations based on available literature and reviews current CDC guidelines for HPV vaccination.",0.238,What are the latest guidelines for HPV vaccination?
10.1158/1538-7755.DISP16-C92,https://www.semanticscholar.org/paper/a13629c45e2e045fb839396d24bb25b9bcc22fab,NA,2017,"Abstract C92: [Advocate Abstract:] The Disparity of Human Papillomavirus Vaccination Knowledge, Attitudes and Practices in College-Age Women 18-26 years old","Cancer Epidemiology, Biomarkers & Prevention",Q1,79040172,F. Weaks,0,NA,0,0,['Medicine'],['Review'],0,3.089,"Yes, this document is relevant. The article discusses the guidelines for HPV vaccination, specifically targeting females ages 11-12 and encouraging catch-up vaccinations for ages 13-26. It also addresses the highest risk population for contracting HPV, which includes females ages 14-26.",0.237,What are the latest guidelines for HPV vaccination?
10.20473/mog.v28i12020.39-43,https://www.semanticscholar.org/paper/4c7b265b5c5914479c52cb1fc7cec7be6a0c5983,NA,2020,HPV vaccine development after more than ten years approval,Majalah Obstetri & Ginekologi,Q1,225655711,B. Askandar,0,NA,1,1,['Medicine'],['Review'],0,3.089,"Yes. The article discusses the latest guidelines for HPV vaccination, including indications for use, dosing recommendations, and the discovery of new HPV vaccine types.",0.237,What are the latest guidelines for HPV vaccination?
10.3322/canjclin.57.1.7,https://www.semanticscholar.org/paper/38883e336df2cef91b24567cccbd9df192a102e5,17237032,2007,American Cancer Society Guideline for Human Papillomavirus (HPV) Vaccine Use to Prevent Cervical Cancer and Its Precursors,CA: A Cancer Journal for Clinicians,Q1,8636367,D. Saslow,0,NA,444,1,['Medicine'],"['Review', 'JournalArticle']",13,3.089,"Yes. The article excerpt specifically discusses the American Cancer Society guidelines for HPV vaccination, which directly addresses the question about the latest guidelines for HPV vaccination.",0.107,What are the latest guidelines for HPV vaccination?
NA,https://www.semanticscholar.org/paper/591ea553d97d6f634ead117b1066cf94d6494905,25811679,2015,Use of 9-Valent Human Papillomavirus (HPV) Vaccine: Updated HPV Vaccination Recommendations of the Advisory Committee on Immunization Practices,Morbidity and Mortality Weekly Report,Q1,28231934,Emiko Petrosky,0,13.080,1029,0,['Medicine'],"['Review', 'JournalArticle']",89,3.089,"Yes. The article excerpt provides information on the latest guidelines for HPV vaccination, including the recommendation of the 9-valent HPV vaccine for routine vaccination at age 11 or 12 years, as well as recommendations for females aged 13 through 26 years and males aged 13 through 21 years. It also mentions vaccination recommendations for men who have sex with men and immunocompromised persons.",0.0131,What are the latest guidelines for HPV vaccination?
10.1001/jama.2015.2090,https://www.semanticscholar.org/paper/8c66f12de03c4997679c92190efc150f24c9a537,25898032,2015,"Why the ""no-brainer"" HPV vaccine is being ignored.",JAMA,Q1,2631701,R. Rubin,0,NA,11,1,['Medicine'],['News'],1,3.089,"Yes. The article discusses the importance of HPV vaccination and the challenges in promoting it, which is directly related to the latest guidelines for HPV vaccination.",0.0059,What are the latest guidelines for HPV vaccination?
10.7326/0003-4819-151-8-200910200-00007,https://www.semanticscholar.org/paper/fbbb54e1a7059666dfc524c3634d23ce43ad1556,19841455,2009,Cost-Effectiveness of Human Papillomavirus Vaccination and Cervical Cancer Screening in Women Older Than 30 Years in the United States,Annals of Internal Medicine,Q1,12066160,Jane J. Kim,0,3.337,63,1,"['Medicine', 'Economics']","['Review', 'JournalArticle']",4,3.089,"Yes, the document is relevant. The article discusses the cost-effectiveness of HPV vaccination for women aged 35 to 45 years, which is related to the latest guidelines for HPV vaccination.",0.0033,What are the latest guidelines for HPV vaccination?
10.1097/MOP.0000000000000354,https://www.semanticscholar.org/paper/590bb2092b00a125f46b4e28ca8145f7046eb875,27093357,2016,Human papillomavirus epidemiology and vaccine recommendations: selected review of the recent literature,Current Opinion in Pediatrics,Q1,21284662,E. Seyferth,0,0.982,11,0,['Medicine'],"['Review', 'JournalArticle']",1,3.089,"Yes. The article provides information on the latest guidelines for HPV vaccination, including the recommendation of the 9-valent vaccine and the dosing schedule for girls and boys 9-14 years old.",0.001,What are the latest guidelines for HPV vaccination?
10.1136/gutjnl-2022-327342,https://www.semanticscholar.org/paper/939df625e145a5580fd93bdfdcd8bad63b86671a,35676086,2022,Adherent invasive Escherichia coli in Crohn’s disease: guilt by association?,Gut,Q1,249520361,C. Elson,0,8.052,0,0,['Medicine'],['JournalArticle'],0,3.089,"Yes, the document is relevant. The excerpt discusses the recurrence of Crohn's disease in the neoterminal ileum following ileocecal resection, which is directly related to the question about biopsy protocols for assessing histologic recurrence of Crohn's disease after ileocecectomy.",0.2451,Are there any biopsy protocols for assessing histologic recurrence of Crohn's disease after ileocecectomy?
